SNAM,NLAYERS,Impervious,Depth,Drained,SOL_Z1,SAND1,SILT1,CLAY1,SOL_CBN1,SOL_Z2,SAND2,SILT2,CLAY2,SOL_CBN2,SOL_Z3,SAND3,SILT3,CLAY3,SOL_CBN3
LS2_LS2_SL3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,5.81395348837209,750,80.7141176470588,14.8405882352941,4.44529411764706,2.90697674418605,1500,62.54046875,25.393125,12.06640625,0.581395348837209
SL3_SL3_SL3_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,62.54046875,25.393125,12.06640625,1.25581395348837,750,62.54046875,25.393125,12.06640625,0.627906976744186,1500,62.54046875,25.393125,12.06640625,0.116279069767442
S3_S1_S1_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,5.81395348837209,750,95.3925,3.457,1.1505,2.90697674418605,1500,95.3925,3.457,1.1505,0.581395348837209
LS2_LS2_SL3_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,1.63372093023256,750,80.7141176470588,14.8405882352941,4.44529411764706,0.813953488372093,1500,62.54046875,25.393125,12.06640625,0.151162790697674
Mpl_S3_S3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,87.31,10.0364285714286,2.65357142857143,2.90697674418605,1500,87.31,10.0364285714286,2.65357142857143,0.581395348837209
LS1_LS1_S2_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.205,10.33,2.465,0.831395348837209,750,87.205,10.33,2.465,0.412790697674419,1500,91.15,6.88,1.97,0.0755813953488372
S3_S1_S1_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.831395348837209,750,95.3925,3.457,1.1505,0.412790697674419,1500,95.3925,3.457,1.1505,0.0755813953488372
Mpl_SCL_SCL_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,18.015,46.855,35.13,2.90697674418605,1500,18.015,46.855,35.13,0.581395348837209
S2_S2_S2_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,91.15,6.88,1.97,0.627906976744186,750,91.15,6.88,1.97,0.313953488372093,1500,91.15,6.88,1.97,0.0581395348837209
LS1_LS1_S1_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.205,10.33,2.465,0.831395348837209,750,87.205,10.33,2.465,0.412790697674419,1500,95.3925,3.457,1.1505,0.0755813953488372
SL1_SL1_SL3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,5.81395348837209,750,74.5211111111111,19.615,5.86388888888889,2.90697674418605,1500,62.54046875,25.393125,12.06640625,0.581395348837209
LS2_LS2_S1_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,1.63372093023256,750,80.7141176470588,14.8405882352941,4.44529411764706,0.813953488372093,1500,95.3925,3.457,1.1505,0.151162790697674
Mpl_Mpl_S3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,89,6,5,2.90697674418605,1500,87.31,10.0364285714286,2.65357142857143,0.581395348837209
Mpl_Mpl_S1_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,89,6,5,2.90697674418605,1500,95.3925,3.457,1.1505,0.581395348837209
Mpl_S1_S1_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,95.3925,3.457,1.1505,2.90697674418605,1500,95.3925,3.457,1.1505,0.581395348837209
SL2_SL3_SL3_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,1.63372093023256,750,62.54046875,25.393125,12.06640625,0.813953488372093,1500,62.54046875,25.393125,12.06640625,0.151162790697674
Mpl_S1_S1_1_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,1.88372093023256,750,95.3925,3.457,1.1505,0.941860465116279,1500,95.3925,3.457,1.1505,0.174418604651163
Mpl_SL3_SL3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,62.54046875,25.393125,12.06640625,2.90697674418605,1500,62.54046875,25.393125,12.06640625,0.581395348837209
LS2_LS2_SL3_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,0.831395348837209,750,80.7141176470588,14.8405882352941,4.44529411764706,0.412790697674419,1500,62.54046875,25.393125,12.06640625,0.0755813953488372
