"lu","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"field_297","trit","alfa","trit","alfa","alfa","trit","trit","alfa"
"field_298","canp","alfa","alfa","alfa","alfa","onio","trit","mint"
"field_299","trit","trit","trit","trit","alfa","trit","trit","trit"
"field_300","onio","barl","corn","wwht","wwht","lett","mint","trit"
"field_301","trit","corn","barl","wwht","wwht","wwht","barl","mint"
"field_302","sgbt","onio","corn","wwht","sgbt","lett","corn","mint"
"field_303","trit","wwht","sgbt","sgbt","mint","onio","wwht","wwht"
"field_304","alfa","wwht","sgbt","wwht","canp","sgbt","wwht","corn"
"field_305","onio","corn","barl","alfa","alfa","trit","wwht","trit"
"field_306","wwht","barl","canp","wwht","sgbt","barl","wwht","mint"
"field_307","corn","corn","corn","trit","wwht","corn","wwht","wwht"
"field_308","canp","wwht","trit","canp","wwht","wwht","mint","mint"
"field_309","wwht","barl","trit","barl","trit","barl","barl","onio"
"field_310","trit","wwht","corn","wwht","mint","corn","crrt","corn"
"field_311","trit","onio","wwht","alfa","mint","corn","corn","corn"
"field_312","corn","wwht","corn","wwht","mint","corn","crrt","corn"
"field_313","trit","trit","trit","trit","mint","trit","trit","corn"
"field_314","corn","wwht","alfa","alfa","alfa","alfa","alfa","corn"
"field_315","onio","corn","barl","mint","mint","trit","trit","corn"
"field_316","trit","corn","barl","trit","onio","trit","trit","corn"
"field_317","corn","wwht","corn","trit","mint","onio","barl","corn"
"field_318","trit","corn","trit","alfa","trit","corn","corn","corn"
"field_319","alfa","alfa","canp","trit","alfa","corn","barl","trit"
"field_320","canp","trit","trit","alfa","trit","trit","corn","corn"
"field_321","wwht","trit","corn","barl","trit","barl","wwht","wwht"
"field_322","alfa","alfa","wwht","trit","corn","wwht","wwht","corn"
"field_323","trit","wwht","corn","alfa","barl","wwht","wwht","canp"
"field_324","lett","alfa","alfa","alfa","corn","lett","lett","sgbt"
"field_325","sgbt","alfa","corn","sgbt","sgbt","corn","onio","wwht"
"field_326","sgbt","sgbt","canp","sgbt","sgbt","canp","barl","sgbt"
"field_327","canp","alfa","alfa","alfa","sgbt","corn","alfa","alfa"
"field_328","trit","trit","trit","trit","corn","alfa","sgbt","wwht"
"field_329","canp","alfa","alfa","alfa","alfa","corn","sgbt","alfa"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_331","wwht","trit","trit","barl","barl","barl","wwht","alfa"
"field_332","alfa","trit","trit","barl","alfa","corn","barl","trit"
"field_333","alfa","alfa","trit","alfa","alfa","alfa","barl","trit"
"field_334","trit","alfa","barl","alfa","wwht","alfa","barl","trit"
"field_335","wwht","trit","sgbt","trit","wwht","alfa","barl","corn"
"field_336","canp","trit","sgbt","trit","canp","trit","barl","trit"
"field_337","trit","onio","sgbt","wwht","mint","corn","wwht","wwht"
"field_338","trit","mint","wwht","sgbt","corn","wwht","wwht","wwht"
"field_339","barl","wwht","corn","wwht","mint","wwht","sgbt","corn"
"field_340","trit","corn","corn","alfa","alfa","alfa","alfa","corn"
"field_341","alfa","alfa","sgbt","trit","onio","barl","alfa","alfa"
"field_342","trit","trit","sgbt","trit","mint","corn","trit","corn"
"field_343","trit","trit","sgbt","trit","mint","corn","wwht","corn"
"field_344","trit","corn","trit","trit","trit","corn","corn","corn"
"field_345","alfa","corn","trit","alfa","onio","trit","corn","trit"
"field_346","alfa","alfa","alfa","alfa","trit","onio","trit","mint"
"field_347","trit","trit","barl","mint","mint","onio","trit","mint"
"field_348","trit","alfa","barl","alfa","mint","onio","trit","mint"
"field_349","trit","onio","trit","onio","mint","crrt","corn","onio"
"field_350","corn","wwht","corn","trit","mint","trit","corn","corn"
"field_351","trit","corn","barl","alfa","barl","trit","corn","corn"
"field_352","trit","trit","sgbt","trit","alfa","trit","corn","trit"
"field_353","trit","trit","corn","trit","onio","trit","corn","trit"
"field_354","trit","trit","corn","trit","mint","wwht","corn","trit"
"field_355","trit","trit","corn","trit","onio","trit","corn","trit"
"field_356","trit","alfa","canp","alfa","corn","alfa","corn","trit"
"field_357","trit","alfa","alfa","alfa","alfa","alfa","corn","alfa"
"field_358","trit","mint","trit","trit","trit","onio","trit","onio"
"field_359","trit","trit","trit","trit","trit","corn","trit","mint"
"field_360","wwht","trit","corn","trit","trit","wwht","trit","canp"
"field_361","corn","alfa","corn","alfa","trit","corn","trit","corn"
"field_362","alfa","alfa","trit","alfa","alfa","alfa","barl","alfa"
"field_363","onio","trit","corn","trit","onio","trit","corn","trit"
"field_364","onio","trit","corn","trit","onio","trit","corn","trit"
"field_365","trit","trit","corn","alfa","alfa","alfa","barl","trit"
"field_366","mint","trit","trit","trit","trit","alfa","barl","trit"
"field_367","trit","trit","corn","alfa","mint","mint","barl","mint"
"field_368","trit","trit","alfa","mint","mint","mint","barl","mint"
"field_369","alfa","alfa","alfa","trit","barl","trit","corn","onio"
"field_370","trit","trit","corn","trit","onio","trit","corn","trit"
"field_371","mint","trit","trit","trit","onio","mint","trit","mint"
"field_372","trit","mint","trit","mint","mint","crrt","trit","onio"
"field_373","trit","onio","trit","alfa","mint","onio","trit","onio"
"field_374","alfa","wwht","barl","onio","barl","trit","corn","trit"
"field_375","onio","barl","trit","barl","onio","barl","trit","onio"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_377","barl","wwht","corn","trit","trit","onio","barl","trit"
"field_378","trit","wwht","corn","trit","mint","onio","trit","barl"
"field_379","corn","canp","trit","corn","barl","wwht","mint","trit"
"field_380","trit","mint","trit","trit","mint","mint","mint","mint"
"field_381","alfa","mint","trit","trit","mint","mint","mint","mint"
"field_382","barl","alfa","corn","trit","lett","trit","onio","corn"
"field_383","mint","wwht","barl","crrt","barl","alfa","wwht","corn"
"field_384","alfa","wwht","barl","crrt","mint","canp","wwht","canp"
"field_385","trit","trit","corn","trit","alfa","alfa","lett","corn"
"field_386","trit","trit","corn","barl","trit","canp","lett","corn"
"field_387","wwht","trit","corn","barl","mint","canp","lett","corn"
"field_388","trit","alfa","trit","trit","trit","wwht","wwht","trit"
"field_389","trit","trit","alfa","trit","trit","trit","wwht","trit"
"field_390","trit","alfa","barl","wwht","barl","wwht","wwht","wwht"
"field_391","barl","lett","barl","trit","barl","wwht","wwht","lett"
"field_392","trit","corn","corn","trit","mint","onio","wwht","corn"
"field_393","trit","trit","corn","trit","mint","onio","wwht","trit"
"field_394","trit","trit","corn","trit","trit","canp","wwht","trit"
"field_395","trit","mint","barl","barl","corn","wwht","wwht","corn"
"field_396","trit","sgbt","barl","trit","trit","alfa","corn","trit"
"field_397","canp","canp","trit","canp","canp","canp","trit","canp"
"field_398","corn","trit","alfa","alfa","alfa","trit","trit","alfa"
"field_399","wwht","trit","trit","canp","wwht","canp","wwht","corn"
"field_400","wwht","canp","wwht","trit","trit","sgbt","barl","canp"
"field_401","trit","sgbt","barl","canp","wwht","wwht","trit","corn"
"field_402","barl","trit","trit","trit","sgbt","barl","canp","wwht"
"field_403","barl","trit","trit","trit","sgbt","barl","corn","trit"
"field_404","trit","mint","mint","trit","mint","mint","mint","mint"
"field_405","alfa","trit","trit","mint","mint","mint","mint","mint"
"field_406","corn","wwht","corn","mint","corn","corn","barl","mint"
"field_407","wwht","wwht","corn","alfa","wwht","canp","barl","wwht"
"field_408","wwht","alfa","corn","alfa","corn","corn","barl","wwht"
"field_409","alfa","corn","alfa","mint","mint","corn","corn","corn"
"field_410","sgbt","trit","mint","trit","trit","corn","mint","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_412","trit","sgbt","sgbt","mint","trit","trit","trit","sgbt"
"field_413","trit","trit","alfa","mint","alfa","alfa","trit","corn"
"field_414","trit","onio","corn","trit","onio","trit","corn","corn"
"field_415","trit","corn","barl","trit","onio","trit","corn","corn"
"field_416","trit","trit","trit","corn","barl","trit","mint","trit"
"field_417","sgbt","trit","wwht","trit","trit","corn","wwht","mint"
"field_418","mint","mint","corn","wwht","sgbt","lett","mint","wwht"
"field_419","alfa","alfa","corn","alfa","corn","lett","mint","trit"
"field_420","barl","trit","sgbt","wwht","sgbt","mint","mint","wwht"
"field_421","trit","alfa","corn","corn","corn","corn","mint","corn"
"field_422","trit","mint","sgbt","sgbt","lett","trit","mint","alfa"
"field_423","alfa","mint","trit","sgbt","mint","mint","wwht","mint"
"field_424","alfa","mint","wwht","sgbt","mint","trit","mint","trit"
"field_425","trit","corn","mint","wwht","onio","trit","mint","corn"
"field_426","trit","trit","mint","mint","corn","alfa","mint","corn"
